Subject,AgeGroup,Group,Condition,ExperimentName,Session,SessionDate,SessionTime,Block,Contrast,Word,Talker,TalkerAccent,Mean Stimulus1.ACC,Mean Stimulus1.RT
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,1,Final b/p,lope,Francisco,5.91,1,9819
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,2,Initial v/f,fan,Nicolas,5.49,1,1080
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,3,Initial s/z,sue,Javier,5.11,1,1247
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,4,Initial v/f,fan,Juan,4.95,1,959
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,5,Initial v/f,veil,David,5.74,1,455
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,6,Final d/t,wheat,Juan,4.95,1,941
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,7,Final b/p,rib,Francisco,5.91,0,627
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,8,Initial s/z,sip,David,5.74,1,405
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,9,Initial v/f,feel,Francisco,5.91,1,386
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,10,Final b/p,rip,Juan,4.95,0,1084
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,11,final d/t,seat,Javier,5.11,1,642
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,12,Final b/p,lobe,Juan,4.95,1,1913
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,13,Final d/t,code,Javier,5.11,0,1318
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,14,Final b/p,lope,Juan,4.95,1,1685
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,15,Final d/t,coat,David,5.74,1,1016
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,16,Initial v/f,veal,Juan,4.95,0,599
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,17,Initial v/f,van,Francisco,5.91,1,871
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,18,Final b/p,mob,Javier,5.11,0,751
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,19,Final d/t,wheat,Francisco,5.91,1,876
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,20,Initial s/z,sink,Nicolas,5.49,1,1147
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,21,Initial s/z,zeal,Francisco,5.91,0,1755
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,22,Final b/p,cop,Juan,4.95,1,611
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,23,Initial s/z,zoo,Francisco,5.91,0,8084
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,24,Final b/p,cob,Javier,5.11,0,665
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,25,Initial v/f,veil,Nicolas,5.49,0,664
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,26,Initial v/f,face,Francisco,5.91,0,469
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,27,Final b/p,cob,Nicolas,5.49,1,1170
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,28,Initial s/z,seal,Francisco,5.91,1,613
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,29,Initial v/f,face,Nicolas,5.49,1,570
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,30,Final d/t,seed,Francisco,5.91,0,2196
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,31,Final d/t,tote,Juan,4.95,1,1297
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,32,Initial s/z,sip,Nicolas,5.49,1,2875
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,33,Initial v/f,face,David,5.74,1,795
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,34,Final d/t,seat,Nicolas,5.49,0,792
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,35,Final d/t,toad,Francisco,5.91,0,1368
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,36,Initial v/f,face,Juan,4.95,1,466
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,37,Final d/t,tote,Nicolas,5.49,1,791
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,38,Initial v/f,veil,Francisco,5.91,0,1400
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,39,Final d/t,seed,Nicolas,5.49,1,1093
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,40,Final d/t,weed,Juan,4.95,0,693
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,41,Initial v/f,veil,Francisco,5.91,0,762
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,42,Final b/p,mob,Juan,4.95,0,2087
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,43,Final d/t,code,David,5.74,0,630
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,44,Initial s/z,zinc,Javier,5.11,1,521
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,45,Initial v/f,fail,Juan,4.95,1,728
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,46,Final d/t,wheat,Javier,5.11,1,672
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,47,Final d/t,coat,Juan,4.95,1,712
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,48,Final b/p,lobe,Nicolas,5.49,1,919
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,49,Initial v/f,veil,Juan,4.95,0,572
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,50,Initial v/f,feel,Nicolas,5.49,1,465
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,51,Final d/t,tote,Francisco,5.91,1,1407
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,52,Final d/t,wheat,Nicolas,5.49,0,1118
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,53,Final d/t,code,Francisco,5.91,0,815
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,54,Initial v/f,van,Nicolas,5.49,0,602
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,55,Final b/p,cop,Javier,5.11,1,1204
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,56,Initial s/z,zip,David,5.74,0,535
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,57,Final b/p,mop,Juan,4.95,1,2041
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,58,Initial s/z,zoo,Javier,5.11,1,737
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,59,Final b/p,mob,David,5.74,0,904
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,60,Initial s/z,sue,Francisco,5.91,1,1168
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,61,final d/t,toad,Javier,5.11,0,519
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,62,Initial v/f,feel,David,5.74,1,746
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,63,Initial v/f,fail,Nicolas,5.49,1,820
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,64,Final b/p,rib,David,5.74,0,516
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,65,Final d/t,seat,Juan,4.95,1,929
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,66,Final b/p,rib,Nicolas,5.49,0,1203
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,67,Final d/t,seed,David,5.74,1,459
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,68,Final d/t,toad,Nicolas,5.49,0,787
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,69,Final b/p,mob,Francisco,5.91,0,744
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,70,Initial s/z,zoo,David,5.74,1,1098
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,71,Final b/p,mop,Javier,5.11,1,673
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,72,Final b/p,cop,Nicolas,5.49,1,1123
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,73,Initial v/f,van,David,5.74,1,1312
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,74,Final d/t,weed,Francisco,5.91,0,656
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,75,Final d/t,tote,David,5.74,1,773
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,76,Initial v/f,van,Juan,4.95,0,684
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,77,Final b/p,rip,Javier,5.11,1,508
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,78,Initial v/f,fan,David,5.74,1,486
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,79,Final b/p,rib,Javier,5.11,1,473
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,80,Final d/t,seat,Francisco,5.91,1,763
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,81,Final d/t,tote,Javier,5.11,1,693
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,82,Initial s/z,zinc,Juan,4.95,0,1066
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,83,Initial v/f,veal,Javier,5.11,0,554
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,84,Initial s/z,sue,Juan,4.95,1,727
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,85,Initial s/z,zinc,Nicolas,5.49,0,988
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,86,Final d/t,wheat,David,5.74,1,638
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,87,Initial s/z,seal,Javier,5.11,1,401
1101,YNH,1,PP1,PrePost1,1,9/11/2018,12:54:58,88,Final b/p,lobe,David,5.74,0,394
